n1,n2,MW_U,MW_p,BM_stat,BM_p,KS_D,KS_p,Cliffs_delta,Rank_biserial,x_median,y_median,x_mean,y_mean,x_sem,y_sem,feature,MW_p_adj
48,49,1396.0,0.11324021615839902,-1.5937190316196288,0.11443654190048552,0.25255102040816324,0.07829374999726854,0.1870748299319728,-0.18707482993197289,-57.48393249511719,-58.072773540665025,-57.73315938313802,-58.09068495776242,0.1557809666192106,0.155366179695371,threshold_v,0.39187184654965795
48,49,1148.0,0.8427127326737698,0.1994966552631705,0.8423162659499822,0.12032312925170068,0.8045723058315893,-0.023809523809523808,0.023809523809523836,-54.37113952636719,-54.617800368240225,-53.966145833333336,-53.87046886227927,0.29989673533728634,0.3419735212614698,upstroke_v,0.8427127326737698
48,49,1066.0,0.4294759149263837,0.7907195126462214,0.431126303627135,0.1296768707482993,0.7500343594056167,-0.0935374149659864,0.09353741496598644,3.8182525634765625,4.001484396620884,3.7724761962890625,3.9844043506945575,0.1966009942701033,0.1794987923083436,peak_v,0.8427127326737698
48,49,1209.0,0.8145958709195025,-0.23522006060528883,0.8145526359025096,0.11394557823129252,0.8579566007468616,0.02806122448979592,-0.028061224489795977,-38.83006286621094,-39.402781655979744,-39.42833455403646,-39.41888451018589,0.46225322508482325,0.4484905158957949,downstroke_v,0.8427127326737698
48,49,966.0,0.13062394884988598,1.4956784175295978,0.13903427829554288,0.2653061224489796,0.046471932832821486,-0.17857142857142858,0.1785714285714286,-62.25230407714844,-62.022505885601085,-62.26343027750651,-62.107444362076535,0.07561078785993752,0.13661211775623625,trough_v,0.39187184654965795
48,49,1239.0,0.6520091401367318,-0.4440763893374555,0.6581972212631482,0.2223639455782313,0.1366796569293068,0.05357142857142857,-0.0535714285714286,-59.50572204589844,-59.48057429199337,-59.50603993733724,-59.58689847266915,0.09657132610171751,0.14474396658039862,adp_v,0.8427127326737698
