n1,n2,MW_U,MW_p,BM_stat,BM_p,KS_D,KS_p,Cliffs_delta,Rank_biserial,x_median,y_median,x_mean,y_mean,x_sem,y_sem,feature,MW_p_adj
97,99,5173.0,0.35009494268528096,-0.9227091321547337,0.35746788367167104,0.16692700197854837,0.11213719446971476,0.07737165469124233,-0.07737165469124241,-59.2491455078125,-59.531860997548804,-59.323551767880154,-59.43630127827697,0.085115605986406,0.10786583470663491,threshold_v,0.7264743992386236
97,99,4652.0,0.707458498516208,0.36459231670176356,0.7158946351007474,0.1898365094241383,0.04875930506452907,-0.031136103301051755,0.031136103301051765,-58.3641357421875,-58.164264861808725,-58.334404699581185,-58.35277132764572,0.07767601080736848,0.11519696985234638,upstroke_v,0.9879432223672756
97,99,4795.0,0.9879432223672755,0.01627876538227775,0.9870289747068284,0.07987087368530668,0.8725870486110007,-0.001353743621784859,0.0013537436217848642,2.6710205078125,2.6128578338711006,2.2566735965689433,2.2844271997807883,0.19384429954953575,0.18069833904286253,peak_v,0.9879432223672756
97,99,5407.0,0.12757357740767353,-1.5339416385193334,0.12670988321243482,0.14589190877850672,0.21929033668871864,0.12610642507549724,-0.1261064250754973,-50.26171875,-51.20662119433551,-50.257786072406574,-50.77261181862634,0.23557667114607428,0.25237893739600564,downstroke_v,0.7264743992386236
97,99,4440.0,0.3632371996193118,0.9014497810739635,0.3685725444085216,0.14922420077059254,0.1949671825254715,-0.07528897219618869,0.07528897219618869,-65.154296875,-64.99058958605126,-65.15099342582153,-65.06303035751793,0.07012067078755063,0.09492132487057077,trough_v,0.7264743992386236
97,99,4792.0,0.9819156650629737,0.023816735294672813,0.9810232708639919,0.06852025408726439,0.9554725321839137,-0.0019785483703009476,0.001978548370300981,-62.5145263671875,-62.50887222656845,-62.419040955219074,-62.419941405709345,0.10706270371596338,0.10982337968223063,adp_v,0.9879432223672756
