avg_firing_rate,burst_frac,cv_isi,mean_isi,median_isi,std_isi,total_spikes,experiment_date,file_name
8.2,0.7317073170731707,1.526821712098124,0.11822749999999997,0.012099999999999334,0.18051231396708092,41.0,10172013,04_data_g.mat
33.6,0.9583333333333334,2.415757414123166,0.029519760479041913,0.0041999999999999815,0.07131258024038553,168.0,10172013,05_data_e.mat
15.0,0.5466666666666666,1.1781096680800898,0.05919864864864871,0.021450000000001523,0.06974250031024938,75.0,10092013,03_data.mat
13.8,0.6376811594202898,1.3040667132508346,0.07160882352941175,0.02159999999999984,0.09338268313975902,69.0,10092013,05_data.mat
8.4,0.7619047619047619,1.303071770092646,0.11205609756097554,0.03819999999999979,0.14601713739845462,42.0,10092013,07_data.mat
16.6,0.3373493975903614,1.0712225768616737,0.058653658536585405,0.03625000000000256,0.06283112323992572,83.0,10152013,03_data_a.smr
8.6,0.46511627906976744,0.8525210585870423,0.10775476190476192,0.09424999999999528,0.09186320368684234,43.0,10152013,04_data_a.smr
11.8,0.6271186440677966,0.9226970287055171,0.08243103448275847,0.06094999999999828,0.07605887059036326,59.0,10152013,04_data_a.smr
9.8,0.4489795918367347,0.8588391415595119,0.10071666666666663,0.07554999999999978,0.08649941554073548,49.0,10152013,04_data_a.smr
9.6,0.5625,1.157281992851267,0.1049468085106383,0.057800000000000296,0.1214530516965718,48.0,10152013,08_data_a.smr
13.4,0.417910447761194,0.9628808241538703,0.07285,0.04245000000000054,0.07014586803960945,67.0,10152013,08_data_c.smr
10.4,0.40384615384615385,0.8364709843248449,0.09529607843137253,0.058499999999998664,0.0797124045277878,52.0,10152013,08_data_d.smr
10.6,0.2830188679245283,0.7931870949357914,0.09248076923076923,0.05549999999999988,0.07335455268358117,53.0,10152013,08_data_e.smr
19.4,0.18556701030927836,0.8329179328457103,0.051878125,0.0356999999999994,0.04321022063491136,97.0,10152013,09_data_e.smr
10.4,0.34615384615384615,0.6215826972922871,0.09185098039215686,0.08060000000000045,0.057092980141097836,52.0,10152013,12_data_g.smr
11.8,0.3559322033898305,0.7518292491780898,0.08070517241379307,0.06510000000000016,0.06067650918065033,59.0,10152013,12_data_g.smr
12.8,0.5,0.7070727901491615,0.07237619047619047,0.059200000000000585,0.05117523494036716,64.0,10152013,12_data_h.smr
11.8,0.23728813559322035,0.6416625922969583,0.08450689655172412,0.0637500000000002,0.05422491430835019,59.0,10152013,12_data_h.smr
15.2,0.4342105263157895,0.7383957786456496,0.06590266666666665,0.05710000000000015,0.04866225086815802,76.0,10152013,12_data_i.smr
13.6,0.2647058823529412,0.595764552746993,0.07370149253731345,0.06289999999999907,0.043908736738278394,68.0,10152013,12_data_j.smr
13.8,0.5217391304347826,0.9252986048359412,0.0724191176470588,0.05894999999999939,0.0670093085222734,69.0,10152013,12_data_j.smr
23.2,1.0,2.3446241239691226,0.04126782608695651,0.0043000000000001926,0.09675754058724052,116.0,4192006,04192006_06.mat
47.4,0.5864978902953587,0.6875833203090855,0.02112500000000001,0.01794999999998481,0.014525197641529437,237.0,4192006,04192006_010.mat
59.8,0.7090301003344481,0.7403793811754465,0.01669093959731544,0.015799999999999592,0.012357627530297162,299.0,4212006,04212006_03.mat
10.8,0.7037037037037037,1.1590348057227333,0.0871056603773585,0.04299999999999926,0.1009584921528221,54.0,4242006,04242006_01.mat
10.8,0.6111111111111112,0.851633993614072,0.09177358490566019,0.07609999999999673,0.0781575046214875,54.0,4242006,04242006_04.mat
59.8,0.7090301003344481,0.7119712665375286,0.01666644295302013,0.014450000000000074,0.011866028497937211,299.0,4242006,04242006_06.mat
47.6,0.7899159663865546,1.0380703303642813,0.021018143459915616,0.011900000000000688,0.02181831112507846,238.0,4242006,04242006_10.mat
33.4,0.8502994011976048,1.4955015686109854,0.029533132530120482,0.005099999999998772,0.044166846024791304,167.0,4242006,04242006_12.mat
18.0,0.4111111111111111,0.7857587450848245,0.05361011235955052,0.037499999999994316,0.04212461461149686,90.0,4242006,04242006_37.mat
16.6,0.37349397590361444,0.6480799820443274,0.06018658536585363,0.049000000000001265,0.0390057211632118,83.0,9222004,09222004_04.mat
11.8,1.0,1.9530915547592491,0.07588793103448274,0.005150000000000432,0.14821607721160057,59.0,4192006,04192006_03.mat
